timestamp,action,symbol,deal_id,direction,price,qty,notional,so_count,pnl,regime
2026-02-13T03:51:04.679890+00:00,OPEN,HYPEUSDT,1,LONG,30.805,0.19,5.85,0,0.00,ACCUMULATION
2026-02-13T12:41:36.256285+00:00,SO_FILL,HYPEUSDT,1,LONG,30.343,0.38,11.53,1,0.00,MILD_TREND
2026-02-13T15:27:27.581412+00:00,TP_HIT,HYPEUSDT,1,LONG,31.717,0.57,18.08,0,0.70,TRENDING
2026-02-13T16:10:45.233159+00:00,OPEN,HYPEUSDT,2,LONG,31.733,0.18,5.71,0,0.00,ACCUMULATION
2026-02-13T20:44:54.746806+00:00,SO_FILL,HYPEUSDT,2,LONG,31.257,0.37,11.57,1,0.00,ACCUMULATION
2026-02-14T00:19:44.053749+00:00,OPEN,HYPEUSDT,3,SHORT,31.505,0.19,5.99,0,0.00,MILD_TREND
2026-02-14T01:57:36.546106+00:00,OPEN,HYPEUSDT,4,LONG,32.153,0.18,5.79,0,0.00,ACCUMULATION
2026-02-14T01:57:00.000000+00:00,TP_HIT,HYPEUSDT,2,LONG,31.944,0.37,11.82,1,0.17,ACCUMULATION
2026-02-14T05:56:45.851579+00:00,SO_FILL,HYPEUSDT,4,LONG,31.349,0.37,11.60,1,0.00,ACCUMULATION
2026-02-14T11:21:27.787116+00:00,TP_HIT,HYPEUSDT,4,LONG,32.086,0.55,17.65,0,0.26,ACCUMULATION
2026-02-14T11:21:36.396582+00:00,OPEN,HYPEUSDT,5,LONG,32.160,0.36,11.58,0,0.00,ACCUMULATION
2026-02-14T13:02:44.369929+00:00,SO_FILL,HYPEUSDT,5,LONG,31.356,0.74,23.20,1,0.00,ACCUMULATION
2026-02-14T13:24:02.619185+00:00,TP_HIT,HYPEUSDT,3,SHORT,31.032,0.19,5.90,0,0.09,TRENDING
2026-02-14T13:24:09.457115+00:00,OPEN,HYPEUSDT,6,SHORT,31.092,0.38,11.81,0,0.00,TRENDING
2026-02-14T23:47:29.472293+00:00,SO_FILL,HYPEUSDT,6,SHORT,31.869,0.73,23.26,1,0.00,MILD_TREND
2026-02-15T03:38:50.558955+00:00,TP_HIT,HYPEUSDT,6,SHORT,31.265,1.11,34.70,0,0.38,MILD_TREND
2026-02-15T03:38:55.987489+00:00,OPEN,HYPEUSDT,7,SHORT,31.280,0.37,11.57,0,0.00,MILD_TREND
2026-02-15T03:39:53.048240+00:00,SO_FILL,HYPEUSDT,5,LONG,31.247,1.49,46.56,2,0.00,TRENDING
2026-02-15T04:03:29.755469+00:00,TP_HIT,HYPEUSDT,5,LONG,31.593,2.59,81.83,0,0.49,MILD_TREND,16:41:55,0.663,1.2,0.3369,Tight TP (0.7%) + 2 SO(s) with Tight dev (1.2%) in mild trend market
2026-02-15T04:31:00.871051+00:00,OPEN,HYPEUSDT,57,LONG,31.578,0.37,11.68,0,0.00,RANGING,,,,,
2026-02-15T04:31:07.954041+00:00,OPEN,HYPEUSDT,58,SHORT,31.585,0.37,11.69,0,0.00,RANGING,,,,,
2026-02-15T05:18:36.341426+00:00,TP_HIT,HYPEUSDT,57,LONG,31.779,0.37,11.76,0,0.07,ACCUMULATION,0:47:37,0.603,1.2,0.3781,Tight TP (0.6%) hit with no SOs — clean entry in accumulation market
2026-02-15T05:18:43.356985+00:00,OPEN,HYPEUSDT,59,LONG,31.794,0.42,13.35,0,0.00,ACCUMULATION,,,,,
2026-02-15T06:19:46.097036+00:00,SO_FILL,HYPEUSDT,59,LONG,31.412,0.85,26.70,1,0.00,MILD_TREND,,,,,
2026-02-15T06:19:52.985511+00:00,TP_HIT,HYPEUSDT,58,SHORT,31.395,0.37,11.62,0,0.07,MILD_TREND,1:48:47,0.6,1.2,0.304,Tight TP (0.6%) hit with no SOs — clean entry in mild trend market
2026-02-15T06:19:58.857398+00:00,OPEN,HYPEUSDT,60,SHORT,31.432,0.43,13.52,0,0.00,MILD_TREND,,,,,
2026-02-15T06:52:31.370502+00:00,OPEN,HYPEUSDT,61,SHORT,31.251,0.43,13.44,0,0.00,TRENDING,,,,,
2026-02-15T08:28:54.180045+00:00,OPEN,HYPEUSDT,62,SHORT,31.176,0.43,13.41,0,0.00,RANGING,,,,,
2026-02-15T08:33:05.923438+00:00,TP_HIT,HYPEUSDT,62,SHORT,30.849,0.43,13.27,0,0.14,TRENDING,0:04:13,0.794,1.434,0.3529,Tight TP (0.8%) hit with no SOs — clean entry in trending market
2026-02-15T08:33:10.657070+00:00,OPEN,HYPEUSDT,63,SHORT,30.855,0.43,13.27,0,0.00,TRENDING,,,,,
2026-02-15T12:52:28.701569+00:00,SO_FILL,HYPEUSDT,63,SHORT,31.225,0.86,26.85,1,0.00,ACCUMULATION,,,,,
2026-02-15T13:41:39.863584+00:00,SO_FILL,HYPEUSDT,59,LONG,30.935,1.72,53.21,2,0.00,ACCUMULATION,,,,,
2026-02-15T13:45:36.348658+00:00,TP_HIT,HYPEUSDT,63,SHORT,30.809,1.29,39.74,0,0.38,ACCUMULATION,5:12:28,0.697,1.51,0.4373,Tight TP (0.7%) + 1 SO(s) with Tight dev (1.5%) in accumulation market
2026-02-15T13:45:40.350330+00:00,OPEN,HYPEUSDT,64,SHORT,30.800,0.43,13.24,0,0.00,ACCUMULATION,,,,,
2026-02-15T18:58:02.799415+00:00,TP_HIT,HYPEUSDT,64,SHORT,30.586,0.43,13.15,0,0.09,ACCUMULATION,5:12:24,0.732,1.22,0.4592,Tight TP (0.7%) hit with no SOs — clean entry in accumulation market
2026-02-15T18:58:07.472935+00:00,OPEN,HYPEUSDT,65,SHORT,30.569,0.43,13.14,0,0.00,ACCUMULATION,,,,,
2026-02-15T21:45:10.538278+00:00,TP_HIT,HYPEUSDT,65,SHORT,30.386,0.43,13.07,0,0.08,TRENDING,2:47:05,0.6,1.2,0.2652,Tight TP (0.6%) hit with no SOs — clean entry in trending market
2026-02-15T21:45:15.640101+00:00,OPEN,HYPEUSDT,66,SHORT,30.395,0.43,13.07,0,0.00,TRENDING,,,,,
2026-02-16T01:21:43.241521+00:00,TP_HIT,HYPEUSDT,66,SHORT,30.213,0.43,12.99,0,0.08,MILD_TREND,3:36:30,0.625,1.2,0.3173,Tight TP (0.6%) hit with no SOs — clean entry in mild trend market
2026-02-16T01:21:47.446576+00:00,OPEN,HYPEUSDT,67,SHORT,30.223,0.43,13.00,0,0.00,MILD_TREND,,,,,
2026-02-16T02:55:55.432942+00:00,TP_HIT,HYPEUSDT,67,SHORT,30.042,0.43,12.92,0,0.08,ACCUMULATION,1:34:10,0.6,1.2,0.2847,Tight TP (0.6%) hit with no SOs — clean entry in accumulation market
2026-02-16T02:56:00.520334+00:00,OPEN,HYPEUSDT,68,SHORT,30.033,0.43,12.91,0,0.00,ACCUMULATION,,,,,
2026-02-16T05:03:00.104256+00:00,TP_HIT,HYPEUSDT,68,SHORT,29.853,0.43,12.84,0,0.08,EXTREME,2:07:01,0.6,1.2,0.2487,Tight TP (0.6%) hit with no SOs — clean entry in extreme market
2026-02-16T05:05:36.247746+00:00,OPEN,HYPEUSDT,69,SHORT,29.881,0.44,13.15,0,0.00,MILD_TREND,,,,,
2026-02-16T05:15:28.054020+00:00,TP_HIT,HYPEUSDT,69,SHORT,29.702,0.44,13.07,0,0.08,MILD_TREND,0:09:54,0.6,1.2,0.2911,Tight TP (0.6%) hit with no SOs — clean entry in mild trend market
2026-02-16T05:15:33.719703+00:00,OPEN,HYPEUSDT,70,SHORT,29.675,0.44,13.06,0,0.00,MILD_TREND,,,,,
2026-02-16T12:05:06.710889+00:00,SO_FILL,HYPEUSDT,70,SHORT,30.044,0.87,26.14,1,0.00,RANGING,,,,,
2026-02-16T13:02:43.549590+00:00,SO_FILL,HYPEUSDT,70,SHORT,30.517,1.73,52.79,2,0.00,MILD_TREND,,,,,
2026-02-16T15:25:07.010558+00:00,TP_HIT,HYPEUSDT,70,SHORT,30.059,3.04,91.38,0,0.61,RANGING,10:09:35,0.699,1.2,0.4386,Tight TP (0.7%) + 2 SO(s) with Tight dev (1.2%) in ranging market
2026-02-16T15:25:11.905248+00:00,OPEN,HYPEUSDT,71,SHORT,30.053,0.44,13.22,0,0.00,RANGING,,,,,
2026-02-16T15:31:35.094580+00:00,TP_HIT,HYPEUSDT,71,SHORT,29.843,0.44,13.13,0,0.09,ACCUMULATION,0:06:25,0.706,1.2,0.4427,Tight TP (0.7%) hit with no SOs — clean entry in accumulation market
2026-02-16T15:31:40.267126+00:00,OPEN,HYPEUSDT,72,SHORT,29.800,0.44,13.11,0,0.00,ACCUMULATION,,,,,
2026-02-16T20:57:15.609448+00:00,SO_FILL,HYPEUSDT,72,SHORT,30.275,0.87,26.34,1,0.00,TRENDING,,,,,
2026-02-16T22:00:39.532778+00:00,SO_FILL,HYPEUSDT,72,SHORT,30.607,1.74,53.26,2,0.00,DISTRIBUTION,,,,,
2026-02-16T23:22:37.096481+00:00,SO_FILL,HYPEUSDT,72,SHORT,30.873,3.44,106.20,3,0.00,DISTRIBUTION,,,,,
2026-02-17T00:05:13.079928+00:00,TP_HIT,HYPEUSDT,59,LONG,31.378,2.99,93.82,0,0.56,MILD_TREND,"1 day, 18:46:32",0.71,1.239,0.3604,Tight TP (0.7%) + 2 SO(s) with Tight dev (1.2%) in mild trend market
2026-02-17T00:05:18.532312+00:00,OPEN,HYPEUSDT,73,LONG,31.334,0.42,13.16,0,0.00,MILD_TREND,,,,,
2026-02-17T02:04:28.650190+00:00,SO_FILL,HYPEUSDT,73,LONG,30.939,0.86,26.61,1,0.00,RANGING,,,,,
